source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,ruwe,average_rv,average_rv_error,num_clean_epochs_rv
5861196531541297664,187.0648304812641,-65.04975707002343,-4.920710727109969,0.021091443,0.4035889891120107,0.02429778,1.2960006,,,
6053426966900274688,185.70884310342285,-64.4423421975116,-4.067955939399275,0.05281524,0.4162170124727406,0.05356449,1.0185928,,,
6053428684887800320,185.8824010872296,-64.47088908284749,-6.517687748883542,0.01190501,0.279948802066943,0.0160074,0.7942695,-33.35984,0.9818894,19.0
6054079114726993664,182.15969713106355,-63.90275196213903,-4.6878522167587455,0.031864796,0.5273090196168038,0.03769829,1.0341277,,,
6054171095749135360,184.57022580781137,-63.28010337131626,-6.911256870558145,0.12965707,0.9034923941626344,0.21122007,3.8655725,,,
6054367221132503296,182.41922158319903,-62.957697859508215,-5.566863273611582,0.053876016,0.6246542101404233,0.061583746,1.0723536,,,
6054836506424835840,185.66715621139585,-62.1599126123532,-7.450142598439554,0.017273702,0.3018294000799253,0.018954517,0.91291666,-25.52676,1.7612141,8.0
6057514092119497472,183.24856425678504,-62.096823487166695,-5.338066740654611,0.013671079,0.4730814908790555,0.014765133,1.0172426,,,
6054279088395910400,181.11014839105607,-63.55060752124371,-6.237488987082932,0.015366501,0.9174384285001528,0.01690195,1.1127822,,,
6053942981414181504,189.03862538314067,-62.34181392076984,-6.388268989856521,0.04581748,-0.3155025705144089,0.055863395,1.0805906,,,
6054174119406221440,184.7048552651329,-63.16750566871054,-5.695811969788725,0.015464484,0.4515672123056109,0.020215917,0.9947502,-6.6363354,4.2845497,15.0
6054673950486186496,187.4863380459327,-62.44680272350744,-8.460909020658667,0.013218445,1.723871132701223,0.016989002,0.92841953,-45.325016,0.30078074,18.0
6053117420033458944,185.000820977308,-64.31720343429691,-4.317147457986668,0.11868944,0.4012565767165476,0.11902937,1.0205382,,,
6053318012162186880,184.1646356315188,-64.19687265426093,-5.630600458435255,0.13148367,-0.0363081905247878,0.12776853,1.6642089,,,
6053622679932061056,188.3277467960714,-63.5063698067674,-3.9027901892842425,0.014524579,-1.1338098545731383,0.015259059,0.8536955,,,
6053803034218464384,186.98944251538404,-63.02742398545185,-6.441606521702341,0.026536146,0.3674262967692588,0.03177201,1.0703683,,,
6054808258387455232,184.9068999969249,-62.67282976172714,-6.253254688029214,0.050370537,0.6512406155337315,0.06687404,1.0063837,,,
6057503092665674368,182.9720407429976,-62.288001639199855,-5.82289828563765,0.10462483,0.8725277913835814,0.11317545,1.163887,,,
5841377318974708352,187.5012432098493,-73.63309170110135,-6.70644098113627,0.02137993,-1.489458112965253,0.021513045,1.1449612,,,
5860917083768980992,187.60646636489645,-65.81593690743068,-4.058001482882153,0.04794965,0.1720372466646758,0.05885941,1.0177642,,,
5861263052003079040,187.17024860153177,-64.7087250405399,-4.133138814206277,0.043588925,0.2796504179562372,0.050263025,0.95087564,,,
6054351931048115584,181.24865167194844,-63.399536148113086,-5.926362968826806,0.021610403,0.7926051841432559,0.023345206,0.95277244,,,
