galaxy,stationary_role,panel_row,panel_col,point_index,pdf_drawing_index,x_pdf,y_pdf,r_over_rout,log10_sigma_hi_msun_pc2,sigma_hi_msun_pc2,radius_status,source_quantity,helium_status,lelli_ref,profile_republication,profile_reference_provenance,acquisition_status
NGC5033,blind,1,2,5,93,209.466995239,158.878967285,0.110500040,0.821172221,6.624791594,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,6,93,211.848007202,158.013977051,0.138128104,0.855476585,7.169297212,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,7,93,216.610015869,157.364013672,0.193384055,0.881253270,7.607698096,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,8,93,217.475006104,157.148010254,0.203420966,0.889819679,7.759248814,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,9,93,221.587997437,156.497985840,0.251146047,0.915598784,8.233770996,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,10,93,224.185012817,156.497985840,0.281280506,0.915598784,8.233770996,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,11,93,228.513992310,157.364013672,0.331511804,0.881253270,7.607698096,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,12,93,230.895004272,158.445983887,0.359139869,0.838343767,6.891976173,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,13,93,238.470001221,159.744995117,0.447036320,0.786826706,6.121060984,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,14,93,243.447998047,162.774963379,0.504798489,0.666662188,4.641540962,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,15,93,247.560012817,165.588989258,0.552512238,0.555061657,3.589728945,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,16,93,252.105010986,172.297973633,0.605250108,0.288992243,1.945325335,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,17,93,255.567993164,175.328979492,0.645432810,0.168786574,1.474981503,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,18,93,259.897003174,182.471008301,0.695664463,-0.114456807,0.768321866,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,19,93,266.607025146,193.075988770,0.773524180,-0.535036254,0.291718348,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,20,93,268.988006592,190.695007324,0.801151890,-0.440609691,0.362568700,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,21,93,274.398010254,200.218994141,0.863926848,-0.818318365,0.151943328,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,22,93,276.562988281,204.763977051,0.889048164,-0.998566353,0.100330655,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5371,calibration,3,4,0,67,389.541992188,286.143981934,0.000000000,0.778221568,6.000971558,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Wevers et al. 1984,vector_profile_candidate_recovered
NGC5371,calibration,3,4,1,67,394.087982178,286.360015869,0.052869845,0.769653949,5.883746451,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Wevers et al. 1984,vector_profile_candidate_recovered
NGC5371,calibration,3,4,2,67,403.394012451,287.010009766,0.161098940,0.743876054,5.544674478,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Wevers et al. 1984,vector_profile_candidate_recovered
NGC5371,calibration,3,4,3,67,412.700988770,288.740997314,0.269339037,0.675227386,4.733990543,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Wevers et al. 1984,vector_profile_candidate_recovered
NGC5371,calibration,3,4,4,67,422.008026123,290.256011963,0.377579844,0.615143916,4.122341024,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Wevers et al. 1984,vector_profile_candidate_recovered
NGC5371,calibration,3,4,5,67,431.314025879,293.935974121,0.485808584,0.469201502,2.945788093,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Wevers et al. 1984,vector_profile_candidate_recovered
NGC5371,calibration,3,4,6,67,440.621002197,301.295013428,0.594048681,0.177351773,1.504359984,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Wevers et al. 1984,vector_profile_candidate_recovered
NGC5371,calibration,3,4,7,67,449.712005615,306.704986572,0.699777014,-0.037200580,0.917908560,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Wevers et al. 1984,vector_profile_candidate_recovered
NGC5371,calibration,3,4,8,67,459.018035889,310.600982666,0.808006108,-0.191710613,0.643116107,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Wevers et al. 1984,vector_profile_candidate_recovered
NGC5371,calibration,3,4,9,67,468.325012207,314.279968262,0.916246206,-0.337614298,0.459606013,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Wevers et al. 1984,vector_profile_candidate_recovered
