radius_arcsec,radius_kpc,sigma_hi_msun_pc2,pixel_x,pixel_y,radius_err_kpc,sigma_hi_err_msun_pc2,galaxy,source,method,distance_mpc_frozen
53.45351043643264,26.020628694711727,3.9052224371373303,313.0,348.75,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
55.16129032258064,26.8518947872105,3.613152804642166,323.0,361.3333333333333,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
57.55218216318785,28.0166673167098,3.6112185686653773,337.0,361.4166666666667,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
59.601518026565465,29.01545962770833,3.2504835589941974,349.0,376.9583333333333,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
61.99240986717267,30.18023215720763,2.9110251450676987,363.0,391.5833333333333,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
64.21252371916509,31.26087807745608,2.60541586073501,376.0,404.75,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
66.4326375711575,32.341523997704525,2.345744680851064,389.0,415.94444444444446,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
68.31119544592031,33.25691669895319,1.0087040618955512,400.0,473.5833333333333,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
71.89753320683112,35.00257549320062,0.8288201160541586,421.0,481.3333333333333,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
76.50853889943073,37.24761618894731,0.4468085106382981,448.0,497.7916666666667,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
82.48576850094877,40.15953880169238,0.304642166344294,483.0,503.9166666666667,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
84.02173913043478,40.90767828494128,0.18858800773694442,492.0,508.9166666666667,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
