galaxy,stationary_role,source,source_pdf,source_panel_index,vector_vertex_index,radius_source_kpc,radius_source_arcsec_derived,sigma_hi_msun_pc2,source_distance_mpc,source_rhi_kpc_anchor,source_mean_sigma_hi_3p2h_anchor,axis_kpc_per_pdf_x,axis_sigma_per_pdf_y,axis_tick_nice_score,helium_applied,frozen_distance_applied,profile_status
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,15,3.356797981,53.26076427,7.531805539,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,16,3.578870858,56.78429211,7.51637291,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,17,3.803429268,60.34725677,7.499605925,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,18,4.027928939,63.90928943,7.19962362,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,19,4.250537188,67.44131177,6.804225882,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,20,4.475065948,71.00380599,6.408728521,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,21,4.697131553,74.52721844,6.014619855,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,22,4.921668146,78.08983693,5.619469667,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,23,5.146189634,81.65221576,5.224071929,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,24,5.368804596,85.18434461,4.828625889,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,25,5.593326644,88.74673232,4.507568626,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,26,5.817408982,92.30214336,4.204667042,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,27,6.039950659,95.83310943,3.903395666,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
