galaxy,stationary_role,sample_index,source_artifact,source_radius_value,source_radius_unit,radius_kpc_frozen,sigma_source_msun_pc2,sigma_source_err_minus_msun_pc2,sigma_source_err_plus_msun_pc2,surface_density_multiplier_to_common_1p33,sigma_neutral_1p33_msun_pc2,sigma_neutral_1p33_err_minus_msun_pc2,sigma_neutral_1p33_err_plus_msun_pc2,radius_mapping_method,helium_mapping_method,inclination_amplitude_rescale,source_note
ESO116-G012,blind,9,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,156.0267229,arcsec,9.83370568448,0.5837563452,,,1.33,0.776395939116,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO116-G012,blind,10,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,168.0942335,arcsec,10.5942699351,0.2030456853,,,1.33,0.270050761449,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO116-G012,blind,11,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,180.0070323,arcsec,11.3450833541,0.08629441624,,,1.33,0.114771573599,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO116-G012,blind,12,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,192.0745429,arcsec,12.1056476048,0.03553299492,,,1.33,0.0472588832436,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO116-G012,blind,13,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,204.0646976,arcsec,12.8613364396,0.0152284264,,,1.33,0.020253807112,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
IC2574,calibration,0,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,0.1,kpc_source,0.09775,10.3,2.5,2.5,0.977941176471,10.0727941177,2.44485294118,2.44485294118,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,1,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,0.3,kpc_source,0.29325,10.7,2.3,2.3,0.977941176471,10.4639705882,2.24926470588,2.24926470588,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,2,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,0.5,kpc_source,0.48875,10.7,1.6,1.6,0.977941176471,10.4639705882,1.56470588235,1.56470588235,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,3,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,0.7,kpc_source,0.68425,9.6,1.3,1.3,0.977941176471,9.38823529412,1.27132352941,1.27132352941,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,4,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,0.9,kpc_source,0.87975,8.2,1.4,1.4,0.977941176471,8.01911764706,1.36911764706,1.36911764706,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
