name,arm,ra_deg,dec_deg,plx_mas,e_plx_mas,x_kpc,y_kpc,z_kpc,R_kpc,U_kms,V_kms,W_kms,e_U_kms,e_V_kms,e_W_kms
G035.20-01.73,SgN,285.4397583333333,1.2257472222222223,0.412,0.014,-6.167602995174138,1.3984728360846397,-0.06938412415729336,6.324164211921415,3.225769943313012,-1.6945424661920754,-5.192571667260472,4.909602768567747,5.10687318144778,5.078674061287199
G035.79-00.17,SgF,284.3203770833333,2.4661130555555557,0.113,0.013,-0.9718326928435053,5.17567362521612,-0.026305911117198575,5.2661234563611625,2.5238064136704894,-15.13424667529992,-1.512890546007638,9.769478329856371,16.387667809362767,5.833841459994445
G037.42+01.51,SgN,283.55978374999995,4.694346388888889,0.532,0.021,-6.657816765927262,1.1420534115089884,0.05426477279373295,6.755058111030686,7.8916045361620615,4.2798172026789985,-3.1999181531031353,3.4804094261913003,3.5874493785338344,3.190054966820514
G038.11-00.22,AqS,285.43396375,4.510388888888889,0.242,0.035,-4.899081259013618,2.55078937628551,-0.013190846708392438,5.5233616235576575,25.85450106456861,-5.755729723735499,8.80422510204409,10.028084409582059,5.952838957319015,5.59638988039545
G040.28-00.21,AqS,286.4217275,6.436860555555556,0.297,0.019,-5.581427859141316,2.1769117145173293,-0.009120241750079559,5.990933279515104,6.446883709112378,15.110670188484136,4.839634635204961,6.564701811524224,5.516736806777681,5.072674234188732
G041.15-00.20,SgF,286.809865,7.221673611111111,0.125,0.018,-2.126685710303951,5.264852993111333,-0.0265980520031634,5.678157196616203,-6.704544238522932,-12.506349538831472,-0.8059619534291872,10.03256362047571,14.097304624435049,5.614936129429714
G043.16+00.01,Per,287.555875,9.103555555555555,0.09,0.007,-0.04588291505190156,7.601321970928357,0.002218096701275758,7.60146044833569,-4.72291148868749,-10.75585335754991,10.423192291768933,8.703979571228684,18.78425353437875,10.131142696895013
G043.79-00.12,SgF,287.974945,9.597312500000001,0.166,0.01,-3.8017270744497713,4.169173811868514,-0.01080009056480408,5.6422636434479605,20.989869424090475,-30.097175139221463,1.939359976650494,10.990253268988576,10.096643841876048,10.816470012856062
G043.89-00.78,SgF,288.60996083333333,9.376824444444445,0.134,0.013,-2.772457399016627,5.173254026061603,-0.10027861678289879,5.8693336289160305,-11.25168055939314,-17.720809366314654,16.5352089710998,9.066139791076099,5.886016552352522,5.632934327963189
G045.07+00.13,SgF,288.3418445833333,10.84814888888889,0.129,0.007,-2.6753616447244077,5.488232439731189,0.019726801362042353,6.1055921287439645,9.07805477731136,2.976135549783038,7.912625092442358,9.293906815343675,7.6145541505812036,9.634662684241913
G045.49+00.12,SgF,288.54731375000006,11.218436111111112,0.144,0.024,-3.2819446125092355,4.952496408999718,0.01744879450332409,5.941244071802933,-8.951676698632092,-9.559136033723206,-1.816549238752488,11.758381890437155,13.600933376637498,6.240000172480797
