R_bin_kpc,absZ_bin_kpc,phi_bin_deg,n,Rbirth_median_kpc,deltaR_present_birth_median_kpc,outward_fraction_gt1,inward_fraction_gt1,inner_born_fraction_lt6,age_median_gyr,FeH_median,aFe_median,Vr_median_kms,Vphi_median_kms,Vz_median_kms,Rbirth_median_kpc_anom,deltaR_present_birth_median_kpc_anom,outward_fraction_gt1_anom,inward_fraction_gt1_anom,inner_born_fraction_lt6_anom,age_median_gyr_anom,FeH_median_anom,aFe_median_anom,Vr_median_kms_anom,Vphi_median_kms_anom,Vz_median_kms_anom
5.5,2.25,150.0,20,12.929405799440126,-7.3530475258404335,0.05,0.9,0.1,9.333105971562304,-1.4844395001596762,0.34901977958921576,15.46431399842253,-99.25265474646024,45.42795473632112,-0.425767572063215,0.3680835417645829,0.0011904761904761932,0.04523809523809519,0.026190476190476195,-0.1386314492374403,-0.008131293044797205,0.009909971562933106,44.315172141693495,-19.265687407036268,3.7737937501095757
5.5,2.25,195.0,21,13.780940943566556,-8.089214609369598,0.047619047619047616,0.8095238095238095,0.047619047619047616,9.610368870037183,-1.4681769140700816,0.32919983646334955,-73.16603028496446,-60.72127993238771,37.88036723610197,0.425767572063215,-0.368083541764582,-0.0011904761904761932,-0.0452380952380953,-0.026190476190476195,0.13863144923743853,0.008131293044797427,-0.009909971562933106,-44.315172141693495,19.26568740703626,-3.7737937501095757
5.5,2.5,180.0,20,13.260136973121298,-7.555476405254723,0.0,0.9,0.1,9.31465799219222,-1.4625508797997662,0.4012198524298686,-15.464666980861395,-53.93831575032277,-19.06890941049129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,3.0,195.0,23,13.526357399185825,-7.829559189543803,0.0,0.8695652173913043,0.043478260869565216,10.145901497856167,-1.6277753120911567,0.36648846492998255,-3.911332913303257,-64.20869746586837,-2.6084438188696395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,4.25,165.0,23,11.555624552865579,-5.570722771306134,0.0,1.0,0.0,9.811279704452557,-1.3625775043495736,0.34621654623358056,-262.5948090782888,-131.4561418068512,-136.456626124814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.25,180.0,22,15.273442937732337,-8.865708901466073,0.045454545454545456,0.9090909090909091,0.045454545454545456,6.549898300701086,-1.1686959759157383,0.47742612664733,-62.052711062467594,-46.60853491449241,-1.7809803390085626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.5,165.0,31,7.833933290230648,-1.7446014675977475,0.3225806451612903,0.5483870967741935,0.3870967741935484,9.696926657736823,-0.6139973000923822,0.36865126465110853,-12.738564589562008,-181.54649620118883,9.487024789920179,-3.4279433952612823,3.2563683641293837,0.08202202989771834,-0.12214791502753741,0.10818253343823758,1.1064797136053492,0.2629166404535822,-0.02726911725258052,22.744130870252278,-69.77654303370194,5.831552932115056
6.0,0.5,180.0,82,14.689820080753211,-8.257338195856516,0.15853658536585366,0.7926829268292683,0.17073170731707318,7.483967230526123,-1.1398305809995466,0.42318949915626963,-58.22682633006657,-41.99341013378494,-2.1760810743099332,3.4279433952612806,-3.2563683641293846,-0.08202202989771831,0.12214791502753741,-0.10818253343823761,-1.1064797136053501,-0.2629166404535822,0.027269117252580577,-22.744130870252285,69.77654303370196,-5.831552932115056
6.0,0.75,165.0,24,6.300478287867415,-0.012573438449131391,0.375,0.4583333333333333,0.4583333333333333,9.788807280650275,-0.58897951502212,0.33152670555587227,-4.572559077523646,-193.04361347514288,-1.33440697737069,1.0048126505147783,-0.9243933085853362,-0.10416666666666669,0.09027777777777773,-0.10416666666666669,-0.7214790644484292,0.0027377787618481086,-0.007031295251806791,-9.26287819624201,-0.5313528115740951,4.354889664719962
6.0,0.75,180.0,36,4.290852986837859,1.836213178721541,0.5833333333333334,0.2777777777777778,0.6666666666666666,11.231765409547133,-0.5944550725458161,0.3455892960594859,13.953197314960374,-191.9809078519947,-10.044186306810612,-1.0048126505147783,0.9243933085853362,0.10416666666666669,-0.09027777777777779,0.10416666666666663,0.7214790644484292,-0.0027377787618479976,0.007031295251806846,9.26287819624201,0.5313528115740951,-4.354889664719961
