NAME,GL,GB,DIST,DIST_ERR,PX,PX_ERR,accel_source,has_binary_orbital_accel,has_spin_inferred_accel,ALOS_PB,ALOS_PB_ERR,ALOS_PS,ALOS_PS_ERR,ALOS_USE_mm_s_yr,ALOS_USE_ERR_mm_s_yr,aGal_1e10_m_s2,aGal_err_1e10_m_s2,x_moranlike_kpc,y_moranlike_kpc,z_moranlike_kpc,X_mwm_kpc,Y_mwm_kpc,Z_mwm_kpc,R_gal_kpc,phi_mwm_deg,duplicate_sky_location,sky_key,BSURF,CHAR_AGE
J1600-3053,344.09,16.451,1.87,0.03,0.51,0.11,binary_orbital,1,1,1.717378235,0.7634160992,2.344191802,0.6394692084,1.717378235,0.7634160992,0.5442043232058205,0.24191196390093034,6.485254234003486,-0.49163222298534226,0.5295751127078999,-6.485254234003486,-0.49163222298534226,0.5295751127078999,6.50386229269483,184.33516962847196,0,344.09|16.451|1.87,181143540.5,2.02e+17
J1603-7202,316.63,-14.496,2.7,1.3,0.3,0.3,binary_orbital,1,0,-0.4370652143,1.926577956,,,-0.4370652143,1.926577956,-0.1384976089119578,0.610495714503004,6.309760355790841,-1.7950835172954214,-0.6758435177688298,-6.309760355790841,-1.7950835172954214,-0.6758435177688298,6.5601372380138105,195.8806888914095,0,316.63|-14.496|2.7,356859860.7,8.86e+17
J1614-2230,352.636,20.192,0.649,0.042,1.54,0.1,binary_orbital,1,1,1.098115326,1.463337413,0.7221042503,1.318512354,1.098115326,1.463337413,0.3479717488021903,0.4637036444469795,7.60591077646005,-0.07807156015816007,0.22401348507929167,-7.60591077646005,-0.07807156015816007,0.22401348507929167,7.606311452207084,180.58809706529337,0,352.636|20.192|0.649,119022325.6,3.59e+17
J1640+2224,41.051,38.271,1.08,0.28,0.8,0.2,binary_orbital,1,1,2.626548873,1.461288186,1.214875907,1.013472234,2.626548873,1.461288186,0.8323031133546277,0.46305428359571066,7.5705792857716645,0.5568399716480416,0.6689322807211006,-7.5705792857716645,0.5568399716480416,0.6689322807211006,7.591030330342515,175.79329007948525,0,41.051|38.271|1.08,70570110.38,1.03e+18
J1713+0747,28.751,25.223,1.136,0.013,0.88,0.01,binary_orbital,1,1,-0.6078783338,0.1183714051,-1.095888927,0.5214687818,-0.6078783338,0.1183714051,-0.192625020217,0.03750963479478794,7.309005934642807,0.4943227294481336,0.48409785513061604,-7.309005934642807,0.4943227294481336,0.48409785513061604,7.325702881873712,176.13086360433988,0,28.751|25.223|1.136,193836247.0,2.85e+17
J1721-2457,0.387,6.751,10.0,20.0,0.1,0.2,spin_inferred,0,1,,,-0.2353011386,4.536051562,-0.2353011386,4.536051562,-0.07456243142697797,1.4373880022561918,-1.720437525151251,0.06707540763498002,1.1755472975420636,1.720437525151251,0.06707540763498002,1.1755472975420636,1.7217445769503559,2.232683414018936,0,0.387|6.751|10.0,130044916.0,3.7e+17
J1738+0333,27.721,17.742,1.47,0.1,0.59,0.05,binary_orbital,1,0,1.133996065,4.125751232,,,1.133996065,4.125751232,0.3593416688848328,1.307371673384541,6.970612830155035,0.6512723927752792,0.4479550352797139,-6.970612830155035,0.6512723927752792,0.4479550352797139,7.000971286722524,174.6622849243895,0,27.721|17.742|1.47,365351396.1,1.31e+17
J1741+1351,37.885,21.641,1.667,0.278,0.6,0.1,binary_orbital,1,0,3.516412665,2.816039945,,,3.516412665,2.816039945,1.1142839331888355,0.8923492106497325,6.9870667384594425,0.9515134826721385,0.6147725840592682,-6.9870667384594425,0.9515134826721385,0.6147725840592682,7.051558658579898,172.2450451217178,0,37.885|21.641|1.667,328681777.9,6.65e+16
J1744-1134,14.794,9.18,0.388,0.005,2.58,0.03,spin_inferred,0,1,,,-0.3435690412,0.5545913877,-0.3435690412,0.5545913877,-0.1088704594772733,0.17573940594341775,7.8396669085500195,0.09780473609600568,0.06190020173061268,-7.8396669085500195,0.09780473609600568,0.06190020173061268,7.840276972366285,179.28523648263308,0,14.794|9.18|0.388,173736967.0,2.82e+17
J1751-2857,0.646,-1.124,0.909,0.331,1.1,0.4,spin_inferred,0,1,,,3.115569526,0.8518570619,3.115569526,0.8518570619,0.9872644073060054,0.26993721382487895,7.301232672144847,0.010246628569005713,-0.01783116445923107,-7.301232672144847,0.010246628569005713,-0.01783116445923107,7.301239862255754,179.91959053872552,0,0.646|-1.124|0.909,205978350.1,1.85e+17
