4097633069395744768  14.66385  -0.09354    2.73 12.178  0.136  0.21 0.2  1 Gaia_DR3 7.572 0.015
4085919765884068736  14.66857  -9.00722    0.84  9.627  0.115  0.06 0.0  0 P21      7.891 0.007
4096979650282842112  14.98764  -1.87678    1.51 10.897  0.131 -0.01 0.01 0 P21      7.905 0.007
4146053358152366080  15.22082   1.6565    20.85 16.595  0.185 -0.18 0.2  1 Gaia_DR3 8.165 0.015
4146129636764799872  15.25612   0.28013    1.8  11.277  0.093 -0.12 0.11 0 Gaia_DR3 7.783 0.01
4146201826576168064  15.26796   0.85936    3.07 12.432  0.115  0.23 0.2  1 Gaia_DR3 8.562 0.015
4146480758934014336  15.52774   1.62821   17.4  16.203  0.187  0.0  0.2  1 Gaia_DR3 8.121 0.015
4098103969609165440  15.57878  -0.25621    1.38 10.699  0.159  0.14 0.2  1 Gaia_DR3 7.959 0.015
4147381366335558784  16.16689   2.78877    1.73 11.196  0.112  0.16 0.2  1 Gaia_DR3 7.947 0.015
4147402841172462080  16.69139   1.7016    17.44 16.208  0.202 -0.01 0.2  1 Gaia_DR3 8.042 0.015
4103989346187406464  16.75231  -1.6227     2.65 12.114  0.055  0.36 0.01 0 Gaia_DR3 7.921 0.008
4152072840713183360  16.95912   6.44551   22.8  16.789  0.124 -0.28 0.2  1 Gaia_DR3 8.141 0.015
4104122795039152000  17.44435  -1.78197   17.02 16.155  0.163  0.01 0.2  1 P21      7.859 0.015
4169474265786848768  17.65258  13.6822    14.87 15.862  0.107  0.14 0.2  1 Gaia_DR3 8.455 0.015
4099189015819292800  17.75232  -7.11797    1.17 10.349  0.061 -0.22 0.04 0 Gaia_DR3 7.808 0.008
4087335043492541696  17.92735 -11.41707   19.08 16.403  0.125 -0.44 0.2  0 Gaia_DR3 7.721 0.015
4152865318042752768  18.49289   0.83381    4.33 13.183  0.111  0.28 0.2  1 Gaia_DR3 8.202 0.015
4104857784196182400  18.99534  -1.57334    1.84 11.325  0.107  0.04 0.02 0 Gaia_DR3 8.02  0.007
4153177128348076032  19.06153  -0.0298     2.32 11.827  0.113  0.19 0.2  1 Gaia_DR3 7.922 0.015
4104869264724284544  19.15948  -1.49985    3.17 12.502  0.125  0.23 0.2  1 Gaia_DR3 7.657 0.015
4154004171546695936  19.21623   2.59608   13.65 15.676  0.145  0.17 0.2  1 P21      7.814 0.015
4103901934998323968  19.56008  -3.32981    1.14 10.281  0.111  0.13 0.2  1 Gaia_DR3 7.967 0.015
4157393858513836672  19.61245   2.74503   18.62 16.35   0.163 -0.08 0.2  1 P21      8.14  0.015
4157448043824915456  20.18269   2.61486   18.64 16.352  0.177 -0.08 0.2  1 P21      8.391 0.015
4153415176928480896  20.19374   0.08277    2.05 11.557  0.115  0.17 0.2  1 Gaia_DR3 7.94  0.015
4153413252782596864  20.29031  -0.0448     2.78 12.219  0.126  0.21 0.2  1 Gaia_DR3 7.519 0.015
4157780096333716864  20.36457   3.88911    1.5  10.886  0.043  0.0  0.03 0 Gaia_DR3 7.968 0.007
4170927781498848640  20.58313   6.46349    5.04 13.51   0.112  0.3  0.2  1 Gaia_DR3 8.703 0.015
4175017625462647168  20.59839  10.12047    0.6   8.874  0.077  0.01 0.1  0 Gaia_DR3 7.63  0.01
4154536747505387648  20.62348   1.73965    1.44 10.791  0.115  0.14 0.2  1 Gaia_DR3 8.073 0.015
4106566876309154816  20.69849  -1.85445   10.16 15.035  0.127  0.31 0.2  1 Gaia_DR3 8.142 0.015
