source_id_1,source_id_2,phase1_kpc,phase2_kpc,best_min_Neff_2kms,best_h_2kms,qualifying_h_2kms,Neff_U_at_best,Neff_V_at_best
4160906424545920128,2162679246615275264,-10.492719760197533,11.047321291401156,4.13774487353722,7.0,5.0,4.648132279552497,4.13774487353722
4160906424545920128,4512885247948565376,-10.492719760197533,-1.027293880191791,4.126475818392023,7.0,5.0,4.126475818392023,4.287446462564943
1861245556872133504,1871915630021420672,5.627762113582395,9.334988515462278,4.125505798020603,10.0,4.0,4.4023467499899755,4.125505798020603
1871915630021420672,2195158098523149312,9.334988515462278,14.622208144751117,4.125182752958631,10.0,7.0,4.316778087578767,4.125182752958631
2062016551910446592,1871915630021420672,7.216691153427344,9.334988515462278,4.122593702747229,10.0,4.0,4.34462024399451,4.122593702747229
2022722274099045376,1979638838645769216,1.9749487268872292,13.992623423361778,4.120805834226646,10.0,7.0,4.622587285599999,4.120805834226646
2031745858613175040,2165006259882192128,4.414297908739168,11.812473605287641,4.1203279339494046,7.0,5.0,4.1203279339494046,4.486897944512251
4512885247948565376,2072235820984829312,-1.027293880191791,7.258123211473825,4.119085425385203,10.0,5.0,4.893181348523472,4.119085425385203
4310507179195737984,4512885247948565376,-4.121974879050933,-1.027293880191791,4.118736611293276,10.0,3.0,4.277321479180448,4.118736611293276
4314393025132914944,2022722274099045376,-1.9704265331367863,1.9749487268872292,4.118622877314126,10.0,2.0,4.633374527944196,4.118622877314126
4320461195449352064,2162679246615275264,-1.5660179682254343,11.047321291401156,4.116357103661691,7.0,5.0,4.116357103661691,4.466175810823249
4314164395446976128,2165006259882192128,-1.4064472565490531,11.812473605287641,4.11210711000554,7.0,5.0,4.295892580971066,4.11210711000554
4280510268611908480,2022722274099045376,-6.654270217860955,1.9749487268872292,4.110400061535658,10.0,5.0,4.423936601462363,4.110400061535658
4311113353708708864,2031745858613175040,-4.1909205037905375,4.414297908739168,4.110138622406456,7.0,3.0,4.110138622406456,4.609200617752472
4160906424545920128,4513281175196176512,-10.492719760197533,-0.5553821435353719,4.109535807174162,7.0,4.0,4.637858460868633,4.109535807174162
2033842562903693184,2165006259882192128,5.873788935685492,11.812473605287641,4.106963724808831,7.0,7.0,4.193472019704329,4.106963724808831
4513399883752121216,2195158098523149312,-0.2951798599172809,14.622208144751117,4.10691561925478,7.0,7.0,4.10691561925478,4.218677517619728
2025179884408158464,1871915630021420672,3.675491706021214,9.334988515462278,4.102388352003343,7.0,4.0,4.446136725627085,4.102388352003343
2072235820984829312,1871915630021420672,7.258123211473825,9.334988515462278,4.101320731266471,7.0,5.0,4.445049879427468,4.101320731266471
4320165285017783168,2195158098523149312,-1.3180151471644346,14.622208144751117,4.101181027528797,7.0,7.0,4.101181027528797,4.14814626233461
2025179884408158464,2195158098523149312,3.675491706021214,14.622208144751117,4.097607281176472,10.0,5.0,5.279680171991669,4.097607281176472
4320461195449352064,2022722274099045376,-1.5660179682254343,1.9749487268872292,4.096796904802839,7.0,1.0,4.096796904802839,4.349875017274749
4280510268611908480,2031745858613175040,-6.654270217860955,4.414297908739168,4.094399526461536,7.0,3.0,4.094399526461536,4.596986958283212
4311113353708708864,2025179884408158464,-4.1909205037905375,3.675491706021214,4.092409149532084,7.0,3.0,4.092409149532084,4.618661166344831
4512885247948565376,2165006259882192128,-1.027293880191791,11.812473605287641,4.091214900226403,10.0,7.0,4.737784860175284,4.091214900226403
4320461195449352064,4513281175196176512,-1.5660179682254343,-0.5553821435353719,4.090866169574946,7.0,1.0,4.090866169574946,4.357704543538726
2072235820984829312,1979638838645769216,7.258123211473825,13.992623423361778,4.086975449064381,7.0,7.0,4.086975449064381,4.261724634572968
4160906424545920128,2195158098523149312,-10.492719760197533,14.622208144751117,4.086903560442811,7.0,7.0,4.086903560442811,4.317824495964999
1861245556872133504,2072235820984829312,5.627762113582395,7.258123211473825,4.082579558754774,10.0,4.0,4.549426079229402,4.082579558754774
4310507179195737984,1861245556872133504,-4.121974879050933,5.627762113582395,4.082121451641688,10.0,3.0,4.213333050768886,4.082121451641688
1979638838645769216,2195158098523149312,13.992623423361778,14.622208144751117,4.081636260930139,10.0,7.0,5.340575915876759,4.081636260930139
4310507179195737984,2162679246615275264,-4.121974879050933,11.047321291401156,4.079764993414506,10.0,7.0,4.271814915031906,4.079764993414506
4314393025132914944,2195158098523149312,-1.9704265331367863,14.622208144751117,4.079397994232465,10.0,7.0,4.459553412224044,4.079397994232465
4310507179195737984,2025179884408158464,-4.121974879050933,3.675491706021214,4.078046266648038,10.0,3.0,4.206697182042658,4.078046266648038
4311113353708708864,2022722274099045376,-4.1909205037905375,1.9749487268872292,4.07692372021868,10.0,4.0,4.622850125265678,4.07692372021868
4513399883752121216,1873298884367855872,-0.2951798599172809,8.701455980597105,4.076869549990283,7.0,5.0,4.402899749157164,4.076869549990283
4320461195449352064,4512885247948565376,-1.5660179682254343,-1.027293880191791,4.075424773911855,7.0,2.0,4.075424773911855,4.592337415750973
4280510268611908480,2025179884408158464,-6.654270217860955,3.675491706021214,4.074860538552943,7.0,3.0,4.074860538552943,4.602984257164603
4513399883752121216,2059995546465811968,-0.2951798599172809,7.495451905728237,4.0745983351929675,7.0,5.0,4.471523876211169,4.0745983351929675
2031982665929461504,2165006259882192128,4.870920701590028,11.812473605287641,4.071236321358107,7.0,7.0,4.171279781580372,4.071236321358107
4280510268611908480,2195158098523149312,-6.654270217860955,14.622208144751117,4.070988557285319,10.0,7.0,4.117643720413447,4.070988557285319
4160906424545920128,4311113353708708864,-10.492719760197533,-4.1909205037905375,4.070064998150311,7.0,5.0,4.070064998150311,4.344158949866953
2072235820984829312,2062016551910446592,7.258123211473825,7.216691153427344,4.068926883771723,10.0,4.0,4.436602249377399,4.068926883771723
4320165285017783168,2165006259882192128,-1.3180151471644346,11.812473605287641,4.068650238323616,7.0,5.0,4.332725413810462,4.068650238323616
4310507179195737984,2062016551910446592,-4.121974879050933,7.216691153427344,4.068466189266924,10.0,3.0,4.17973042933037,4.068466189266924
2162679246615275264,1979638838645769216,11.047321291401156,13.992623423361778,4.065863654249387,7.0,7.0,4.129057194948403,4.065863654249387
4314164395446976128,2195158098523149312,-1.4064472565490531,14.622208144751117,4.063672227175566,7.0,7.0,4.063672227175566,4.191214117883013
2025179884408158464,1978690990909022336,3.675491706021214,13.41499047438571,4.062003815723181,7.0,5.0,4.062003815723181,4.218048611205555
4314393025132914944,2072235820984829312,-1.9704265331367863,7.258123211473825,4.061056018991141,10.0,5.0,4.711527082572505,4.061056018991141
4310507179195737984,4314393025132914944,-4.121974879050933,-1.9704265331367863,4.060711995561864,10.0,2.0,4.251405459390969,4.060711995561864
4320461195449352064,1871915630021420672,-1.5660179682254343,9.334988515462278,4.05750548486236,7.0,5.0,4.205530221865479,4.05750548486236
2059995546465811968,1978690990909022336,7.495451905728237,13.41499047438571,4.053086096704886,7.0,7.0,4.053784240728777,4.053086096704886
4280510268611908480,2072235820984829312,-6.654270217860955,7.258123211473825,4.052968503410605,10.0,4.0,4.414194337235719,4.052968503410605
4280510268611908480,4310507179195737984,-6.654270217860955,-4.121974879050933,4.052624903714092,10.0,3.0,4.172409330950537,4.052624903714092
2025179884408158464,2062016551910446592,3.675491706021214,7.216691153427344,4.052111720676089,7.0,3.0,4.149356695936651,4.052111720676089
4160906424545920128,4280510268611908480,-10.492719760197533,-6.654270217860955,4.051632627120144,7.0,4.0,4.051632627120144,4.336471863290382
2021540814501736320,2165006259882192128,3.2978077202738225,11.812473605287641,4.051337264585643,7.0,7.0,4.232730255353174,4.051337264585643
4314164395446976128,1873298884367855872,-1.4064472565490531,8.701455980597105,4.049151640443357,7.0,5.0,4.360416445380783,4.049151640443357
4311113353708708864,2072235820984829312,-4.1909205037905375,7.258123211473825,4.048027267651106,7.0,4.0,4.048027267651106,4.618870303634663
1861245556872133504,2165006259882192128,5.627762113582395,11.812473605287641,4.0476553690282016,10.0,7.0,4.324929468490511,4.0476553690282016
4314164395446976128,2059995546465811968,-1.4064472565490531,7.495451905728237,4.046879175034285,7.0,5.0,4.428730281792167,4.046879175034285
4311113353708708864,4320461195449352064,-4.1909205037905375,-1.5660179682254343,4.045544908070535,7.0,3.0,4.045544908070535,4.618123742455224
4512885247948565376,2062016551910446592,-1.027293880191791,7.216691153427344,4.045436602708711,7.0,4.0,4.045436602708711,4.10783304330459
4513399883752121216,2162679246615275264,-0.2951798599172809,11.047321291401156,4.04487632689122,7.0,5.0,4.6160601894156645,4.04487632689122
2033842562903693184,1873298884367855872,5.873788935685492,8.701455980597105,4.043996566684606,7.0,7.0,4.2579264699097195,4.043996566684606
2033842562903693184,2059995546465811968,5.873788935685492,7.495451905728237,4.0417238382530725,7.0,5.0,4.325916844454469,4.0417238382530725
4311113353708708864,1871915630021420672,-4.1909205037905375,9.334988515462278,4.040784667783067,7.0,4.0,4.107552575663587,4.040784667783067
4311113353708708864,2195158098523149312,-4.1909205037905375,14.622208144751117,4.037072286992506,10.0,7.0,4.440570863124521,4.037072286992506
2165006259882192128,1979638838645769216,11.812473605287641,13.992623423361778,4.035643489039856,10.0,7.0,5.363993019015704,4.035643489039856
4280510268611908480,4320461195449352064,-6.654270217860955,-1.5660179682254343,4.035429490334511,7.0,4.0,4.035429490334511,4.604681628397928
4512885247948565376,2162679246615275264,-1.027293880191791,11.047321291401156,4.034861902918577,7.0,7.0,4.034861902918577,4.506188715310751
2022722274099045376,1978690990909022336,1.9749487268872292,13.41499047438571,4.03481933438222,10.0,7.0,4.662643514933458,4.03481933438222
2062016551910446592,2165006259882192128,7.216691153427344,11.812473605287641,4.03384727052873,10.0,5.0,4.197477073883108,4.03384727052873
4314393025132914944,2165006259882192128,-1.9704265331367863,11.812473605287641,4.033507485372839,10.0,7.0,4.514316449166664,4.033507485372839
4513281175196176512,1979638838645769216,-0.5553821435353719,13.992623423361778,4.033010889094961,7.0,5.0,4.1306357678846295,4.033010889094961
4505886787660255616,4314393025132914944,-3.1881593335627447,-1.9704265331367863,4.031350949857964,10.0,2.0,4.031350949857964,4.120703723962416
4311113353708708864,4505886787660255616,-4.1909205037905375,-3.1881593335627447,4.03069952996829,10.0,2.0,4.03069952996829,4.0787215211145345
4314393025132914944,1871915630021420672,-1.9704265331367863,9.334988515462278,4.030484418843342,7.0,5.0,4.030484418843342,4.107600523061596
4512885247948565376,1861245556872133504,-1.027293880191791,5.627762113582395,4.029166120552169,10.0,3.0,4.516225491758259,4.029166120552169
4505886718970731648,4314393025132914944,-3.2528085686505253,-1.9704265331367863,4.0289853269819,10.0,2.0,4.0289853269819,4.118501139534136
4505886787660255616,4512885247948565376,-3.1881593335627447,-1.027293880191791,4.02872966593017,10.0,2.0,4.02872966593017,4.181284515018951
4311113353708708864,4505886718970731648,-4.1909205037905375,-3.2528085686505253,4.028356964839452,10.0,2.0,4.028356964839452,4.076804977260279
4505886787660255616,2022722274099045376,-3.1881593335627447,1.9749487268872292,4.027074329759817,10.0,2.0,4.027074329759817,4.3052471887096955
2031745858613175040,2195158098523149312,4.414297908739168,14.622208144751117,4.0263732581174665,10.0,5.0,5.097325000970779,4.0263732581174665
2031745858613175040,1871915630021420672,4.414297908739168,9.334988515462278,4.02611380546631,7.0,4.0,4.41316283735395,4.02611380546631
4505886718970731648,4512885247948565376,-3.2528085686505253,-1.027293880191791,4.026105273821608,10.0,2.0,4.026105273821608,4.178102197726256
4314393025132914944,2031745858613175040,-1.9704265331367863,4.414297908739168,4.025856445186125,7.0,3.0,4.025856445186125,4.611081067861515
2162679246615275264,1978690990909022336,11.047321291401156,13.41499047438571,4.025492304749176,7.0,7.0,4.193692898091553,4.025492304749176
4280510268611908480,2165006259882192128,-6.654270217860955,11.812473605287641,4.025448619545635,10.0,5.0,4.172536621650681,4.025448619545635
4505886718970731648,2022722274099045376,-3.2528085686505253,1.9749487268872292,4.024420620869317,10.0,2.0,4.024420620869317,4.294612109664671
4505886787660255616,1871915630021420672,-3.1881593335627447,9.334988515462278,4.023214402514524,10.0,7.0,4.023214402514524,4.081164407680565
4513281175196176512,2022722274099045376,-0.5553821435353719,1.9749487268872292,4.02290345141015,7.0,2.0,4.055716398957772,4.02290345141015
