older_lookback_gyr,younger_lookback_gyr,R_kpc,delta_surface_density_msun_per_kpc2,delta_SFR_surface_proxy_msun_per_yr_kpc2
12.25,11.65,19.629140628125626,89.96236623817245,1.4993727706362083e-07
12.25,11.65,19.75416063212643,81.9028467436204,1.3650474457270075e-07
12.25,11.65,19.879180636127227,74.56405712277781,1.242734285379631e-07
12.25,11.65,20.004200640128026,67.88167541194639,1.1313612568657738e-07
12.25,11.65,20.12922064412883,61.79710712079208,1.0299517853465352e-07
12.25,11.65,20.254240648129628,56.2569765349033,9.376162755817223e-08
12.25,11.65,20.379260652130426,51.21266306912223,8.53544384485371e-08
12.25,11.65,20.50428065613123,46.61987869500543,7.76997978250091e-08
12.25,11.65,20.629300660132028,42.438282815464305,7.073047135910721e-08
12.25,11.65,20.754320664132827,38.63113127871602,6.438521879786006e-08
12.25,11.65,20.87934066813363,35.16495651481021,5.860826085801705e-08
12.25,11.65,21.00436067213443,32.00927604361018,5.3348793406017e-08
12.25,11.65,21.129380676135227,29.136326845428272,4.856054474238048e-08
12.25,11.65,21.25440068013603,26.520823306593513,4.420137217765588e-08
12.25,11.65,21.37942068413683,24.13973665388529,4.023289442314217e-08
12.25,11.65,21.504440688137628,21.97209397573313,3.6620156626221903e-08
12.25,11.65,21.62946069213843,19.99879509588429,3.333132515980717e-08
12.25,11.65,21.75448069613923,18.2024457182905,3.0337409530484185e-08
12.25,11.65,21.879500700140028,16.56720540156727,2.7612009002612136e-08
12.25,11.65,22.00452070414083,15.078649048700779,2.5131081747834647e-08
12.25,11.65,22.12954070814163,13.723640713790589,2.2872734522984327e-08
12.25,11.65,22.25456071214243,12.490218633515166,2.0817031055858624e-08
12.25,11.65,22.37958071614323,11.367490487578705,1.8945817479297852e-08
12.25,11.65,22.50460072014403,10.3455379804575,1.724256330076251e-08
12.25,11.65,22.62962072414483,9.415329917068096,1.5692216528446838e-08
12.25,11.65,22.75464072814563,8.568643018202073,1.4281071697003462e-08
12.25,11.65,22.87966073214643,7.797989788333697,1.2996649647222836e-08
12.25,11.65,23.004680736147233,7.0965528092814445,1.1827588015469081e-08
12.25,11.65,23.12970074014803,6.458124888705091,1.0763541481175157e-08
12.25,11.65,23.25472074414883,5.8770545430171826,9.795090905028643e-09
12.25,11.65,23.379740748149633,5.348196340420576,8.913660567367631e-09
12.25,11.65,23.504760752150432,4.8668656718364085,8.111442786394018e-09
12.25,11.65,23.62978075615123,4.4287975558233805,7.3813292597056385e-09
12.25,11.65,23.754800760152033,4.030109118537473,6.716848530895792e-09
12.25,11.65,23.879820764152832,3.667265421636392,6.112109036060657e-09
12.25,11.65,24.00484076815363,3.3370483400699116,5.561747233449856e-09
12.25,11.65,24.129860772154434,3.0365282181653326,5.060880363608891e-09
12.25,11.65,24.254880776155233,2.7630380565404553,4.6050634275674285e-09
12.25,11.65,24.37990078015603,2.514150004363295,4.190250007272161e-09
12.25,11.65,24.504920784156834,2.2876539515176315,3.812756585862722e-09
12.25,11.65,24.629940788157633,2.081538033496236,3.4692300558270623e-09
12.25,11.65,24.754960792158432,1.8939708784875289,3.15661813081255e-09
12.25,11.65,24.879980796159234,1.723285441290092,2.872142402150155e-09
11.65,11.18,0.001,224168105.82426786,0.4769534166473778
11.65,11.18,0.12602000400080016,203687071.1799146,0.43337674719130703
11.65,11.18,0.2510400080016003,185077278.55975914,0.39378144374416785
11.65,11.18,0.37606001200240047,168167762.64032412,0.35780375029856143
11.65,11.18,0.5010800160032006,152803178.2805852,0.3251131452778404
11.65,11.18,0.6261000200040008,138842373.38987824,0.2954093050848469
11.65,11.18,0.7511200240048009,126157092.18519363,0.2684193450748797
11.65,11.18,0.8761400280056011,114630796.9248797,0.24389531260612668
11.65,11.18,1.0011600320064011,104157597.29420272,0.22161190913660123
11.65,11.18,1.1261800360072014,94641277.60719296,0.2013644204408358
11.65,11.18,1.2512000400080014,85994412.88782781,0.18296683593154828
11.65,11.18,1.3762200440088017,78137565.71012485,0.16625013980877604
11.65,11.18,1.5012400480096018,70998556.41863781,0.15106075833752705
11.65,11.18,1.626260052010402,64511800.02498239,0.13725914898932404
11.65,11.18,1.751280056011202,58617703.688561395,0.12471851848630067
11.65,11.18,1.8763000600120023,53262119.24623664,0.11332365797071609
11.65,11.18,2.0013200640128024,48395845.76142159,0.1029698845987692
11.65,11.18,2.1263400680136026,43974177.52258888,0.09356207983529535
11.65,11.18,2.251360072014403,39956493.33872412,0.08501381561430653
11.65,11.18,2.3763800760152027,36305883.35864601,0.0772465603375446
11.65,11.18,2.501400080016003,32988809.985838935,0.0701889574166785
