source_id,x,y,z,R,phi,U,V,eU,eV,Dist,e_mu,ruwe,rv_kms,rv_error_kms,rv_source,rv_epochs
4103901934998323968,-7.077644558873175,0.3810213441079726,-0.061436712137914025,7.087893182491741,3.0878100859859843,-14.3871223430145,0.7684405070710625,1.197971438076062,0.5068627658703944,1.14,0.111,1.0430044,-13.798,1.0,veloce_dr1_vgamma,14.0
4153415176928480896,-6.22601001478087,0.7076488533515206,0.007166827513141678,6.2660966800554085,3.0284182490114446,18.774320662341864,14.390155594449652,1.883682282042645,0.5628967827022411,2.05,0.115,1.1605341,34.451,1.0,veloce_dr1_vgamma,18.0
4175017625462647168,-7.597024329431611,0.20780415495105695,0.11055899960029955,7.599865869131556,3.114246110733474,3.0278913831696497,-7.371407653504349,0.944936334339184,0.6869068019206183,0.6,0.077,1.031427,-7.313,1.0,veloce_dr1_vgamma,92.0
4155514178988015616,-6.517196234416559,0.6827476537876986,-0.021212632737814766,6.552861292339857,3.037212447323315,70.56702255890205,9.022213797000319,4.227079067697452,3.11337044253018,1.77,0.178,1.2140957,75.100105,4.9324765,gaia_source_rvs,8.0
4156360424971735808,-6.584791031535428,0.6634151431346678,0.008153754480166916,6.618126062650196,3.041181865974891,27.561297407129167,13.216176389754821,2.148764084940039,1.2101168237539173,1.7,0.117,1.3029011,38.437286,1.9686121,gaia_source_rvs,11.0
4155550943909053696,-6.348278148380947,0.7708994098884594,-0.027953798018527713,6.394913709298774,3.0207499209481816,-23.49999998959809,3.2116535970808684,2.5467865154951035,1.1653588644580775,1.96,0.11,0.91728014,-6.721321,2.2664144,gaia_vari_cepheid,10.0
4156450099578283776,-6.5053598358189575,0.7310108607077611,-0.022570557998723543,6.546303038506479,3.029691525428434,7.507159780725419,-5.003599939646506,1.931761928982014,1.7542292485695865,1.8,0.177,0.9436102,14.036,1.0,veloce_dr1_vgamma,68.0
4156512638614879104,-6.313403751649796,0.8165233621825272,-0.01212487922566913,6.365985967023143,3.0129748799937612,5.341562757096677,-1.102838125040563,1.5399992789246368,0.9725708449603176,2.01,0.111,1.0094599,17.4,0.5,melnik2015_hrv,
4251917636212432384,-7.182131515871741,0.45490820376793145,-0.0290357201771853,7.196523784795926,3.0783382663454355,-16.158778056351704,15.246532546028618,0.9289193870227088,0.5068175274299488,1.07,0.034,0.8428184,-6.975,1.0,veloce_dr1_vgamma,12.0
4253017873709602304,-7.969238550350206,0.08559072855066455,0.0050567983502893795,7.969698165250782,3.1308529276727515,-16.177895445438516,3.2460523492077016,2.6845925462152764,1.3118782406111418,0.2,0.05,0.9773883,-24.87333,3.041817,gaia_source_rvs,12.0
4252368406036530688,-5.5804900798706205,1.2730674217221742,-0.11209101684248018,5.723859728521022,2.9173027025026372,-14.816502440895796,26.190667135281643,4.151596535314773,0.647157352702842,2.87,0.116,0.7362985,35.541,1.0,veloce_dr1_vgamma,122.0
4253435825622331392,-5.4811083637311,1.3473511092428345,-0.03659902947251243,5.644280636763281,2.9005545327900872,-6.3485436472860695,2.9868253425247815,3.4593544268359957,1.1789004192691084,2.99,0.125,0.9033309,29.855,1.0,veloce_dr1_vgamma,104.0
4253603501158148736,-6.09469617731051,1.05426149856456,-0.013644650988532823,6.185207256113488,2.9703074809098013,14.083905614674967,18.654124861002543,2.1430626486141215,1.5175832798853317,2.31,0.037,0.8354727,42.784332,2.3771393,gaia_vari_cepheid,10.0
4256655397447716992,-5.6477858577708435,1.3217786573508632,-0.021608204606831497,5.800395151562054,2.911695538479401,4.77693883781731,-10.78990731875993,1.9109047478337307,1.4083251889138855,2.83,0.084,1.027771,26.799791,1.4839094,gaia_source_rvs,11.0
4255149654998406912,-5.173010585352967,1.5785301808091703,-0.04634151727935721,5.408492955334164,2.8454202867312404,81.23674803001472,-14.916746718943642,3.803077686671037,4.235155957223048,3.37,0.123,0.96916926,87.66866,4.995598,gaia_source_rvs,10.0
4256744187345732224,-5.7936416438718386,1.2555763909350004,0.008959771935322252,5.928132553433614,2.9281766353903684,-1.0146281709536917,-3.042853855114629,1.8400749560581313,1.0361326140422151,2.67,0.078,0.9051758,24.632,1.0,veloce_dr1_vgamma,30.0
4256740751371777408,-5.899750423743216,1.199534843200139,0.00433524430937748,6.020460024160067,2.9410072264927396,-0.6518238417398412,-0.01524289385943689,1.440478465813516,0.9056684847826789,2.55,0.059,0.9373219,24.656143,1.0492419,gaia_vari_cepheid,10.0
4258436301367796480,-6.475396936949895,0.8975893142964704,0.012149784395210573,6.537310767295623,3.003855017004458,-24.231318825724852,2.0537721565330287,1.4862236117528032,0.6859232291586385,1.9,0.071,0.8670675,-4.644,1.0,veloce_dr1_vgamma,96.0
