scenario,zcut_kpc,hnu_kpc,decomposition,predictor,rho_detrended_rank,p_perm,p_maxT
z1.5_hnu3.0,1.5,3.0,mcgaugh2019,inner_born_fraction_lt6,-0.41258741258741266,0.18834058297085146,0.5653217339133043
z1.5_hnu3.0,1.5,3.0,mcgaugh2019,guide_history_distance_time_median,0.1328671328671329,0.6866156692165392,0.9942502874856257
z1.5_hnu3.0,1.5,3.0,mcgaugh2019,age_median_gyr,0.3986013986013987,0.19899005049747512,0.592520373981301
z1.5_hnu3.5,1.5,3.5,mcmillan17,Rbirth_median_kpc,-0.23776223776223773,0.4545772711364432,0.911254437278136
z1.5_hnu3.5,1.5,3.5,mcmillan17,deltaR_guide_median_kpc,0.3006993006993008,0.34183290835458224,0.8029598520073996
z1.5_hnu3.5,1.5,3.5,mcmillan17,abs_deltaR_guide_median_kpc,0.16083916083916083,0.6187690615469227,0.983750812459377
z1.5_hnu3.5,1.5,3.5,mcmillan17,outward_guide_fraction_gt1,0.055944055944055986,0.8578071096445178,1.0
z1.5_hnu3.5,1.5,3.5,mcmillan17,inward_guide_fraction_gt1,0.013986013986014003,0.9624518774061297,1.0
z1.5_hnu3.5,1.5,3.5,mcmillan17,inner_born_fraction_lt6,-0.048951048951048966,0.8742062896855157,1.0
z1.5_hnu3.5,1.5,3.5,mcmillan17,guide_history_distance_time_median,0.2517482517482518,0.42507874606269686,0.8897055147242637
z1.5_hnu3.5,1.5,3.5,mcmillan17,age_median_gyr,0.0979020979020979,0.7630118494075296,0.9991000449977501
z1.5_hnu3.5,1.5,3.5,mcgaugh2019,Rbirth_median_kpc,0.20279720279720284,0.5214239288035598,0.9518524073796311
z1.5_hnu3.5,1.5,3.5,mcgaugh2019,deltaR_guide_median_kpc,-0.2867132867132867,0.36823158842057896,0.8340082995850208
z1.5_hnu3.5,1.5,3.5,mcgaugh2019,abs_deltaR_guide_median_kpc,-0.16083916083916092,0.6134693265336734,0.9819509024548773
z1.5_hnu3.5,1.5,3.5,mcgaugh2019,outward_guide_fraction_gt1,-0.5944055944055946,0.04389780510974451,0.18674066296685166
z1.5_hnu3.5,1.5,3.5,mcgaugh2019,inward_guide_fraction_gt1,0.5594405594405595,0.06339683015849208,0.25163741812909357
z1.5_hnu3.5,1.5,3.5,mcgaugh2019,inner_born_fraction_lt6,-0.41258741258741266,0.18614069296535174,0.5606219689015549
z1.5_hnu3.5,1.5,3.5,mcgaugh2019,guide_history_distance_time_median,0.1328671328671329,0.6853657317134143,0.9940002999850007
