CNAME,GaiaEDR3,Rbirth,rguidmean,b_Rbirth,B_Rbirth,s_Rbirth,migration_delta_r_kpc
 , ,kpc,kpc,kpc,kpc,kpc,
----------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,
01212780-5738262,4909480294610891904, 7.7159847309303906, 8.7103459000226131, 6.6465990672252033, 8.4109209887478791, 0.9489222680038842,0.9943611690922225
01240874-3654326,5013077104814351360, 5.5809790221633246, 6.7801312280701600, 4.9246105263953632, 6.0628348111273791, 0.5695858509689017,1.1991522059068354
01244918-3702405,5013071675975737728,11.0224421063453004, 8.2035656444329224, 9.0090671532643167,13.3505450437559592, 2.0129964124649047,-2.818876461912378
01293239-5007486,4929343934240166912, 4.0191759224079249, 8.8777285421271905, 3.8710692197876129, 4.2150134904521970, 0.4026825765088590,4.858552619719266
01294547-5008283,4929341322900070528, 2.6357890315728598, 6.5633821121341489, 2.4579826588741565, 3.4200870908597341, 0.4545999596556830,3.927593080561289
01294695-5006010,4929344380916784768, 2.6699520132511951, 6.3485858354293718, 2.6054085024241069, 3.5758750830795085, 0.4853312282388310,3.6786338221781767
01304895-0337486,2483965683915454336, 2.6641241272637601, 7.7858693077587624, 2.6302713590530780, 2.6771247394037361, 0.1087138090005461,5.121745180495001
01305448-0324064,2483979084213419904, 2.6674273123384551, 7.9441111906287025, 2.6135383843734150, 2.7439629373569541, 0.2420969864379096,5.276683878290248
01355487-4239569,4959637781687726464, 6.7824225683800243, 7.2195384044395086, 6.3562042608551925, 7.3745351105504904, 0.5514429910176671,0.43711583605948245
01365610-4241100,4958884925460221056, 2.7010521332016650, 6.6999855162588204, 2.6603080385137332, 3.9648717502092161, 0.7665111904146150,3.998933383057156
01381627-5957131,4716325204308972288, 6.1198315519090398, 6.5983093352198070, 5.3611669613670605, 6.8634714517831252, 0.6587916073514273,0.4784777833107672
01384653-4705014,4930284875676066944, 6.3620565386102594, 8.6387625308749225, 4.7617915281549159, 6.9989208147839648, 1.0689151439193758,2.2767059922646613
01391371-4654543,4930295527194984192, 2.6697973263748200, 8.8966630265016278, 2.6256579784121650, 2.6912548333365978, 0.2334471270654046,6.22686570012681
01392992-5356044,4912736085980680704, 3.0538963384919500, 6.8100422024851666, 2.8034038838046684, 3.2883982997251402, 0.2470709698395988,3.7561458639932175
01394920-5955115,4716284865976126976, 2.7832234544116350, 8.4865754888417761, 2.6218127473718331, 4.2472661050698637, 0.7776897721392693,5.703352034430141
01402870-0059453,2508945179349268736, 7.8602203013363443, 7.8563966477769727, 7.3934706963281567, 8.4587058297024722, 0.5658816038312851,-0.0038236535593716425
01402952-3657135,5010694463116535552, 2.6731600016746349, 6.3153760320574079, 2.6475148738161822, 3.5452034842585545, 0.4514458779274897,3.642216030382773
01403348-0059108,2508945248068745216, 2.9878707196840901, 9.4051737286776689, 2.8116024398127619, 3.2620219841370690, 0.2345191127921522,6.417303008993579
01493219-0326167,2504393579167475200, 5.7578065635997300, 7.6564850832651929, 4.4667306426398019, 6.9062889018768452, 1.1332601203852863,1.8986785196654639
01513561-2705084,5025096828489615360, 5.5015180579548799, 8.7709454101368234, 4.6883737079620484, 6.1677818291593081, 0.7439494579095569,3.2694273521819417
01513568-2712152,5025083806148776448, 4.3969073097564007, 5.5868144886341540, 4.2453979244412841, 4.6074054202768338, 0.2156270934272075,1.1899071788777533
01582304-6005503,4714578561369063424, 2.8514277103627350, 8.5108688864124264, 2.6491780696991580, 3.0744720854706640, 0.4270467532478125,5.659441176049691
01591575-4651446,4942349610608166400, 6.8499737054158345, 7.9899486968078506, 6.2199502513452893, 7.2604234494479911, 0.5391685991897771,1.1399749913920152
01594404-0048461,2507415243278865280, 7.7740339085112096, 8.9908974514231517, 6.7099110787616913, 8.8688780826858267, 1.0344336812025909,1.2168635429119403
01594507-6012196,4714387211986041216, 2.6946602728774449, 8.3706635346794549, 2.5808221474530844, 3.0078165690754530, 0.5026184872171179,5.676003261802012
01595643-4709576,4942283674270225920, 2.6643655022365902, 5.7704710362824310, 2.6151507557914435, 2.7449698762428540, 0.0829781100108359,3.1061055340458408
02000218-5353015,4935970037985437440, 3.9594413699940452, 8.4457207104695460, 2.6667680831790355, 5.3713379534145069, 1.1807489333317802,4.486279340475502
02001284-0045559,2506666544580074368, 3.6348054155800353, 8.7173398710486936, 3.4243741470670050, 3.8756609679932303, 0.2436878745529642,5.082534455468658
02001646-5347477,4935976360177295616, 3.5115239960339202, 7.7888912803427619, 3.0023740926161984, 5.0496686618742901, 0.9590538323794277,4.277367284308843
02004926-3653429,4967865324119367808, 2.8572030697162099, 7.4074416031630879, 2.6762142476361923, 3.0806907276003761, 0.3902635631386691,4.550238533446878
02030129-4224251,4956744279400280576, 2.6858329531136098, 7.0726680271548670, 2.6520216772388348, 3.8925802424249700, 0.5486327286356902,4.386835074041257
02031417-4230119,4956739950073248896, 2.6922352213838501, 8.1479963934113240, 2.6261056520231034, 2.7763323031425582, 0.1849920897595622,5.455761172027474
