name,arm,ra_deg,dec_deg,plx_mas,e_plx_mas,x_kpc,y_kpc,z_kpc,R_kpc,phi_rad,U_kms,V_kms,W_kms,e_U_kms,e_V_kms,e_W_kms
G018.87+00.05,ScN,276.29730416666666,-12.460151666666667,0.297,0.049,-4.964024629210555,1.0891664060230943,0.006487608073606317,5.082108221930959,2.9256033042913234,-7.176451408127561,-1.1214760458856574,-4.168032217990443,18.252584070707627,7.015200473914309,6.210719676366548
G019.36-00.03,ScN,276.607415,-12.06479638888889,0.352,0.069,-5.4698102538245,0.9419906751661549,0.00219800865243724,5.550330678882442,2.971049206244973,-2.8318089745481823,-16.452921334318717,5.226585308168259,11.610971111561208,7.375499366496692,5.904755565605338
G023.00-00.41,Nor,278.6678333333333,-9.010655555555555,0.205,0.015,-3.660192749743036,1.906715768527682,-0.03247898138298045,4.127054153657739,2.66133910334784,15.225548809211169,-17.131565061785665,-1.49585621881978,10.925623116022377,5.900962312765685,6.0846206944688515
G023.20-00.37,Nor,278.7299141666667,-8.820890555555556,0.239,0.034,-4.304530189593102,1.6486850821867196,-0.02466656135772938,4.609462295468253,2.7758166637132695,20.307335071742358,-1.4707598491429223,1.5808808005185855,16.383420947416756,10.307701005296282,9.758487291084688
G023.38+00.18,Nor,278.30968333333334,-8.399305555555555,0.208,0.025,-3.7373635063247077,1.9085079151915383,0.018086340577301015,4.196461418952456,2.66945645706923,8.954382388332933,-15.91052859261137,-1.7472071891874157,16.63757789295189,5.420495246315137,5.804299360321727
G023.65-00.12,ScN,278.7148541666666,-8.305918055555557,0.313,0.039,-5.223600653465545,1.281961765061972,-0.003568355497253127,5.378608533251557,2.900931785594932,33.237684718391336,8.526382762804957,4.502937512608678,7.902206394785189,3.4074737598676044,3.3044974197718178
G028.30-00.38,ScN,281.0915275,-4.2944177777777774,0.221,0.022,-4.166221443916815,2.145464151805543,-0.027787129121845364,4.68619435645119,2.6660437200900207,12.00909532141345,0.4345174089501711,-0.9342747869567305,13.125340422002632,5.318006432532781,5.285334420104604
G028.39+00.08,ScN,280.7165925,-3.9984705555555555,0.231,0.015,-4.341885330944289,2.058772205293011,0.009005564917250044,4.805258704831224,2.6988254188835676,-2.861814486954419,0.7067024916154878,2.5893521508396153,8.769005220957476,5.401512030298505,4.952704782920893
G028.86+00.06,ScF,280.9425970833333,-3.591623888888889,0.201,0.019,-3.792853291639017,2.4014877937709542,0.008272738206145044,4.489195887408769,2.577146076890527,52.53019704475586,-15.455688303454622,12.872075061363933,13.315861059814125,10.2966010961778,9.859205970916863
G029.86-00.04,ScF,281.4982116666667,-2.7518280555555554,0.221,0.03,-4.225909878116854,2.2530190541188393,-0.0006383328083111638,4.788988322828544,2.651782640940024,45.92124155399769,-4.31609203032184,-1.6483729135528224,13.69037503696953,4.736226699806431,4.856373310545857
