spatial_cell,R_bin_kpc,absZ_bin_kpc,n,young_age_median,old_age_median,delta_Vphi_old_minus_young_kms,delta_ecc_old_minus_young,delta_zmax_old_minus_young_kpc,delta_radial_excursion_old_minus_young_kpc,delta_FeH_old_minus_young,delta_aFe_old_minus_young
8.5_2.5,8.5,2.5,87,8.126775284292338,11.810965342315745,3.9977385458292787,0.09627069051238069,0.4685063504954927,1.2184816852296176,-0.5043632097655413,0.03536129148579992
9.0_1.25,9.0,1.25,107,5.274102287553446,11.811240312301294,22.88708023966852,0.03312934034024573,-0.1469736147281948,1.4641833434614444,-0.48444962286259763,0.029682153281286094
9.0_1.5,9.0,1.5,124,5.144567335893703,11.33633833807064,63.278284810415386,0.0932720233694973,0.4960569896004545,1.772225365632945,-0.2850045040461484,0.0002761749500454491
9.0_1.75,9.0,1.75,152,5.3245709710375255,11.867571721259832,-5.480817158238892,-0.08793793118908111,0.11603370928091539,-0.2888941276128749,-1.0242596688225194,0.029626855512773165
9.0_2.0,9.0,2.0,150,5.373630653198001,10.41314000795792,78.45439290949014,0.23560262657730802,0.23956583482753224,0.9780340243260133,-0.8503114096830174,0.058083236850191955
9.0_2.25,9.0,2.25,118,6.118000858478073,11.08705594526339,87.67243260697421,0.15156897176622375,0.386721924023707,0.6083203168047486,-0.6149489092999236,0.004476054288270248
9.0_2.5,9.0,2.5,101,7.223795802771608,11.40656178566716,34.50329409954651,0.048281832028628346,0.2479339264155085,0.05788867021555433,-0.697158588585338,0.0016078656790686208
9.0_2.75,9.0,2.75,90,8.530889191204459,11.545188422675716,-1.207764365730931,-0.06669418167794816,-0.1862164304603433,0.515983480769096,-0.647961146919158,0.06344712336530173
9.0_3.0,9.0,3.0,80,8.94862010991356,11.671942966458257,35.709236799965936,0.015770755482355847,1.2032332507277688,1.1847737410868184,-0.503599840586942,-0.0077909251054567585
9.5_1.25,9.5,1.25,90,5.083383758517281,10.709797485203993,25.416116211816174,-0.23692181712544857,-0.002160408758427268,-1.1681581125010059,-0.7221499016160455,0.02830529938712173
9.5_1.5,9.5,1.5,108,5.026460447146226,10.768144742523386,31.3817579500639,0.08077515511815442,0.056587167436250585,0.5392794628099429,-0.3441265986831257,0.036573747500166676
9.5_1.75,9.5,1.75,124,5.4768680613603395,11.723587161465165,5.9573825331151795,0.030586596987432046,0.4177290279480208,0.6202236166346271,-0.5148996664197365,0.00485553131014832
9.5_2.0,9.5,2.0,130,5.783609909883385,11.272489095514507,-34.609037349613274,-0.0732073745717624,-0.2760234833258324,-0.31695242384323485,-0.4689144060320585,0.018025287379064725
9.5_2.25,9.5,2.25,108,6.4111628346731155,10.712259966004805,39.96420564840224,-0.03884088937254082,0.0886847849621879,0.5026285212089903,-0.5433819905250292,0.040086339301500296
9.5_2.5,9.5,2.5,96,7.814012441739873,11.127399069535503,40.52460892662105,0.050581717208023735,-0.2767552534541351,0.8027117345310906,-0.4950517011321911,0.00292533862948946
9.5_2.75,9.5,2.75,82,8.371273510585363,11.26899323357299,69.45840620519553,0.164412485533735,-0.16581740367255993,2.0576866362361894,-0.1802931173432505,0.04271166355627415
