R_bin_kpc,absZ_bin_kpc,n,age_median_gyr,age_q25_gyr,age_q75_gyr,old_fraction_age_gt_8gyr,FeH_median,aFe_median,Vphi_median_kms,Vr_sigma_kms,Vz_sigma_kms,ecc_median,zmax_median_kpc,radial_excursion_median_kpc,present_minus_orbit_mid_median_kpc
4.0,3.75,39,9.71582149011402,9.444899217672631,10.132275259843432,1.0,-1.5067544546579703,0.302668513004957,12.410456876184194,174.53170107521262,161.5500233170056,0.5545394606014763,4.425639920650943,3.5514295538055025,-0.048409439027705226
4.5,0.75,70,7.746247897102372,6.003096352748576,9.025424036343765,0.45714285714285713,-1.5433485316893956,0.365495301549412,-75.34703758261114,148.5087119248946,101.95316864394513,0.5538116216056375,1.162717463122883,4.1865919774999,0.28082939268598217
4.5,1.0,68,8.309857015668882,6.399511888571514,10.138898602403495,0.5294117647058824,-1.3073056811821626,0.3750185714677867,-112.92179725033587,126.78440123299782,92.51337732805061,0.4187636715392143,1.4890719516214932,3.698032662875317,0.35908104617342396
4.5,1.25,101,8.194680836104924,6.304861613113564,9.589253958005711,0.504950495049505,-1.3498318654631616,0.35873560335822313,-94.5159491561086,127.23422566240957,82.64119742869536,0.41703835357309027,1.605793443830528,3.503801843424286,0.6339441213692663
4.5,1.5,129,8.37728532176973,6.531642023307618,9.768120398427778,0.5813953488372093,-1.473855986195416,0.3465831462213965,-95.18802964523334,125.79271806199625,85.11250079213329,0.5769683152979174,1.7965205056983438,3.931667136420791,0.6566314611524939
4.5,1.75,124,8.86318251755347,7.058567444329946,9.911301999817237,0.6532258064516129,-1.365788893468114,0.34753826474996796,-65.4013295925507,129.37214513509798,94.29333217692933,0.5263220273270395,2.1463298424547603,3.8449414309989725,0.6375664796015039
4.5,2.0,100,9.008776087993954,7.806521983459181,10.01141108724351,0.71,-1.4647262607314278,0.3356443939576167,-73.73780801679783,130.29029887963515,92.48445912167267,0.4705696932564898,2.517841546775873,3.551080556561412,0.790277728769103
4.5,2.25,74,9.12811834046916,8.143103165417015,10.166842866277623,0.7702702702702703,-1.5073584887799316,0.3315961052485515,-66.77947559018219,130.1814205418945,100.1519851244116,0.5435069736170415,2.70022121504949,3.7359523929676066,0.721723257726981
4.5,2.5,83,9.37822188420935,8.801164916121106,10.068701724362821,0.8554216867469879,-1.5997209385173725,0.3591408660896858,-55.235763974189936,154.41899319539368,121.74926161219855,0.5456729334868371,3.020946074722794,3.9226263930806775,0.5964620068330495
4.5,2.75,45,9.790322564991481,9.478678061170001,10.237062026215254,1.0,-1.3758798881740206,0.364751313333369,-47.18661218459221,146.8552004697614,113.54811215350962,0.5800136118219605,2.970577719789429,4.485800110020129,0.2094683492036422
4.5,3.0,57,9.74315151275056,9.140603600897968,10.204481915307486,0.9473684210526315,-1.3585197272608487,0.32416955600397807,-33.1886525063894,132.15910656770654,100.02713545724248,0.522706640488832,3.335056167316682,3.7460349262828405,0.8221445634968689
4.5,3.25,48,9.800657517162238,9.47237680326541,10.199017775127057,1.0,-1.560257314443371,0.3105750761413329,-0.17088258009045898,139.47516494838695,110.6430996266936,0.5570510347757441,3.3308659376952785,3.7981891620146278,0.9754222103821031
4.5,3.5,41,9.581504170212561,9.18183053906988,9.84462456400753,0.9024390243902439,-1.4720300998721838,0.352465879963686,-35.436216530644046,121.24370321392647,108.76200034629306,0.4987705632127984,3.7706352722638234,3.6371413107445214,0.29593818318698517
4.5,3.75,40,9.7461380920099,9.254202537906988,10.12905813633974,0.95,-1.4526110573884483,0.3235742157408835,-3.562668579020894,138.39088813860135,99.89939880898308,0.53299694033677,3.89500017182866,3.7309502636690803,1.000724301733701
4.5,4.0,41,9.745092900560712,9.169832672896264,10.06398952071373,0.975609756097561,-1.4006946243863836,0.3291936409099958,-21.51409034375284,144.33080316475903,139.6358467268542,0.5233551521149072,4.476699148824811,4.099885350494517,0.39447947370311454
5.0,0.5,40,7.996362209684813,5.869232736237368,9.86083954023767,0.5,-1.4376865177403402,0.33498854529510297,-137.64250689612138,148.79513964490934,101.00838185485318,0.4738529611317816,1.0609093136321683,3.9690218449643595,0.011173038088626797
5.0,0.75,78,7.568328082013609,5.826105882915188,9.406082902654145,0.46153846153846156,-1.4075818456844391,0.3972844242508865,-155.19207919665104,120.3091692854341,70.6214626186408,0.42778442427373603,1.2471168060201119,4.0247983800149925,0.4451619498026096
